time pitch RMS intensity loudness noLaugh smallLaugh bigLaugh laughingAndSpeaking noGeste prep stroke retract
0.04 0 0 33.448 1.605 1 0 0 0 1 0 0 0
0.08 0 0.001567 38.739 1.914 1 0 0 0 1 0 0 0
0.12 0 0.001663 36.076 1.857 1 0 0 0 1 0 0 0
0.16 0 0.000935 32.579 1.683 1 0 0 0 1 0 0 0
0.20 0 0.001489 38.581 1.649 1 0 0 0 1 0 0 0
0.24 0 0.002270 37.492 1.650 1 0 0 0 1 0 0 0
0.28 0 0.001103 35.572 1.615 1 0 0 0 1 0 0 0
0.32 0 0.000852 31.438 1.667 1 0 0 0 1 0 0 0
0.36 0 0.000854 30.294 1.631 1 0 0 0 1 0 0 0
0.40 0 0.000553 32.830 1.610 1 0 0 0 1 0 0 0
0.44 0 0.001042 30.383 1.655 1 0 0 0 1 0 0 0
0.48 0 0.000472 30.156 1.617 1 0 0 0 1 0 0 0
0.52 0 0.000641 24.365 1.605 1 0 0 0 1 0 0 0
0.56 0 0.000282 29.548 1.606 1 0 0 0 1 0 0 0
0.60 0 0.000590 29.839 1.606 1 0 0 0 1 0 0 0
0.64 0 0.000828 33.953 1.712 1 0 0 0 1 0 0 0
0.68 0 0.001375 37.488 1.897 1 0 0 0 1 0 0 0
0.72 0 0.003016 44.449 2.344 1 0 0 0 1 0 0 0
0.76 0 0.002478 35.870 2.041 1 0 0 0 1 0 0 0
0.80 0 0.001304 39.738 1.723 1 0 0 0 1 0 0 0
0.84 0 0.001372 30.099 1.635 1 0 0 0 1 0 0 0
0.88 0 0.000546 22.651 1.611 1 0 0 0 1 0 0 0
0.92 0 0.000663 32.371 1.617 1 0 0 0 1 0 0 0
0.96 0 0.000974 30.905 1.618 1 0 0 0 1 0 0 0
1.00 0 0.000510 29.741 1.615 1 0 0 0 1 0 0 0
1.04 0 0.001421 37.444 1.606 1 0 0 0 1 0 0 0
1.08 0 0.001418 37.891 1.665 1 0 0 0 1 0 0 0
1.12 0 0.001635 36.914 1.860 1 0 0 0 1 0 0 0
1.16 0 0.001851 40.824 1.806 1 0 0 0 1 0 0 0
1.20 0 0.001280 26.671 1.666 1 0 0 0 1 0 0 0
1.24 0 0.000510 35.451 1.640 1 0 0 0 1 0 0 0
1.28 0 0.001279 34.723 1.892 1 0 0 0 1 0 0 0
1.32 0 0.001449 36.014 2.092 1 0 0 0 1 0 0 0
1.36 0 0.001485 44.176 2.055 1 0 0 0 1 0 0 0
1.40 0 0.003519 44.421 1.872 1 0 0 0 1 0 0 0
1.44 0 0.002632 44.301 1.905 1 0 0 0 1 0 0 0
1.48 0 0.003984 46.992 2.677 1 0 0 0 1 0 0 0
1.52 0 0.003995 45.524 2.570 1 0 0 0 1 0 0 0
1.56 0 0.004297 44.659 2.167 1 0 0 0 1 0 0 0
1.60 0 0.002582 37.236 1.850 1 0 0 0 1 0 0 0
1.64 0 0.000723 28.348 1.686 1 0 0 0 1 0 0 0
1.68 0 0.000457 27.928 1.624 1 0 0 0 1 0 0 0
1.72 0 0.001912 48.223 1.749 1 0 0 0 1 0 0 0
1.76 0 0.008474 51.536 2.413 1 0 0 0 1 0 0 0
1.80 0 0.005681 43.631 1.963 1 0 0 0 1 0 0 0
1.84 0 0.002435 38.540 1.880 1 0 0 0 1 0 0 0
1.88 0 0.002094 39.128 1.664 1 0 0 0 1 0 0 0
1.92 0 0.001058 26.806 1.619 1 0 0 0 1 0 0 0
1.96 0 0.000631 24.578 1.682 1 0 0 0 1 0 0 0
2.00 0 0.000503 28.955 1.632 1 0 0 0 1 0 0 0
2.04 0 0.000477 30.888 1.616 1 0 0 0 1 0 0 0
2.08 0 0.000617 28.083 1.701 1 0 0 0 1 0 0 0
2.12 0 0.000927 38.811 1.654 1 0 0 0 1 0 0 0
2.16 0 0.002162 41.161 2.121 1 0 0 0 1 0 0 0
2.20 0 0.001973 38.172 2.080 1 0 0 0 1 0 0 0
2.24 0 0.001801 38.876 1.920 1 0 0 0 1 0 0 0
2.28 0 0.002226 35.477 1.963 1 0 0 0 1 0 0 0
2.32 0 0.002542 39.903 2.215 1 0 0 0 1 0 0 0
2.36 0 0.002103 43.070 2.086 1 0 0 0 1 0 0 0
2.40 0 0.002126 34.016 1.787 1 0 0 0 1 0 0 0
2.44 0 0.000769 39.837 1.793 1 0 0 0 1 0 0 0
2.48 0 0.001385 30.731 1.733 1 0 0 0 1 0 0 0
2.52 0 0.001178 42.185 2.284 1 0 0 0 1 0 0 0
2.56 0 0.003128 39.026 2.187 1 0 0 0 1 0 0 0
2.60 0 0.002005 36.453 2.024 1 0 0 0 1 0 0 0
2.64 0 0.000981 37.774 1.736 1 0 0 0 1 0 0 0
2.68 0 0.001120 35.644 1.682 1 0 0 0 1 0 0 0
2.72 0 0.000734 27.179 1.620 1 0 0 0 1 0 0 0
2.76 0 0.000586 29.234 1.613 1 0 0 0 1 0 0 0
2.80 0 0.000535 28.660 1.604 1 0 0 0 1 0 0 0
2.84 0 0.000770 31.250 1.601 1 0 0 0 1 0 0 0
2.88 0 0.000598 29.750 1.600 1 0 0 0 1 0 0 0
2.92 0 0.000574 30.757 1.600 1 0 0 0 1 0 0 0
2.96 0 0.000596 39.877 1.611 1 0 0 0 1 0 0 0
3.00 0 0.002135 31.934 1.756 1 0 0 0 1 0 0 0
3.04 0 0.000540 24.384 1.638 1 0 0 0 1 0 0 0
3.08 0 0.000711 42.867 1.650 1 0 0 0 1 0 0 0
3.12 0 0.004499 46.085 1.727 1 0 0 0 1 0 0 0
3.16 0 0.002088 33.481 1.651 1 0 0 0 1 0 0 0
3.20 0 0.000848 34.139 1.625 1 0 0 0 1 0 0 0
3.24 0 0.000916 38.681 1.711 1 0 0 0 1 0 0 0
3.28 0 0.005710 48.914 4.700 1 0 0 0 1 0 0 0
3.32 0 0.003831 41.632 5.147 1 0 0 0 1 0 0 0
