time pitch RMS intensity loudness no speaking laughingAndSpeaking smallLaugh bigLaugh
0.04 0 0.0000007 42.228 1.702 1 0 0 0 0
0.08 0 0.003595 44.349 2.050 1 0 0 0 0
0.12 0 0.002898 39.567 1.918 1 0 0 0 0
0.16 0 0.002652 45.248 2.800 1 0 0 0 0
0.20 0 0.003043 42.211 2.577 1 0 0 0 0
0.24 0 0.002364 37.664 2.168 1 0 0 0 0
0.28 0 0.001701 44.994 2.058 1 0 0 0 0
0.32 0 0.002673 38.106 2.027 1 0 0 0 0
0.36 0 0.002544 40.532 2.158 1 0 0 0 0
0.40 0 0.002044 41.315 2.073 1 0 0 0 0
0.44 0 0.002775 40.299 2.422 1 0 0 0 0
0.48 0 0.001720 35.256 2.044 1 0 0 0 0
0.52 0 0.001053 35.258 1.819 1 0 0 0 0
0.56 0 0.001439 39.089 1.956 1 0 0 0 0
0.60 0 0.001298 36.716 1.759 1 0 0 0 0
0.64 0 0.001328 41.180 1.804 1 0 0 0 0
0.68 0 0.002320 37.255 2.674 1 0 0 0 0
0.72 0 0.001614 44.420 2.307 1 0 0 0 0
0.76 0 0.003292 40.528 2.220 1 0 0 0 0
0.80 0 0.001672 39.206 1.765 1 0 0 0 0
0.84 0 0.001779 37.058 1.841 1 0 0 0 0
0.88 0 0.000994 37.531 1.757 1 0 0 0 0
0.92 0 0.001639 38.371 1.765 1 0 0 0 0
0.96 0 0.001464 38.203 1.788 1 0 0 0 0
1.00 0 0.002245 38.545 1.992 1 0 0 0 0
1.04 0 0.001624 42.388 2.072 1 0 0 0 0
1.08 0 0.002047 39.909 2.111 1 0 0 0 0
1.12 0 0.002493 42.806 2.247 1 0 0 0 0
1.16 0 0.003399 44.501 2.395 1 0 0 0 0
1.20 0 0.003937 46.024 2.575 1 0 0 0 0
1.24 0 0.003456 41.071 2.412 1 0 0 0 0
1.28 0 0.002924 45.817 2.482 1 0 0 0 0
1.32 0 0.005119 48.679 2.963 1 0 0 0 0
1.36 0 0.004672 52.649 3.200 1 0 0 0 0
1.40 0 0.006287 43.917 2.833 1 0 0 0 0
1.44 0 0.002320 40.597 1.892 1 0 0 0 0
1.48 0 0.003127 37.033 1.824 1 0 0 0 0
1.52 0 0.001040 30.640 1.729 1 0 0 0 0
1.56 0 0.000747 35.221 1.686 1 0 0 0 0
1.60 0 0.000954 28.306 1.624 1 0 0 0 0
1.64 0 0.000372 21.065 1.607 1 0 0 0 0
1.68 0 0.000246 31.277 1.615 1 0 0 0 0
1.72 0 0.000629 35.399 1.608 1 0 0 0 0
1.76 0 0.000822 27.264 1.602 1 0 0 0 0
1.80 0 0.000337 21.223 1.603 1 0 0 0 0
1.84 0 0.000283 22.968 1.601 1 0 0 0 0
1.88 0 0.000278 21.334 1.600 1 0 0 0 0
1.92 0 0.002608 35.640 1.737 1 0 0 0 0
1.96 0 0.000468 31.985 1.633 1 0 0 0 0
2.00 0 0.005194 32.109 1.956 1 0 0 0 0
2.04 0 0.004795 42.757 2.155 1 0 0 0 0
2.08 0 0.003115 48.363 1.991 1 0 0 0 0
2.12 0 0.004904 43.372 1.997 1 0 0 0 0
2.16 0 0.002786 42.270 1.868 1 0 0 0 0
2.20 0 0.002872 45.320 2.037 1 0 0 0 0
2.24 0 0.003696 44.899 2.339 1 0 0 0 0
