time pitch RMS intensity loudness no speaking laughingAndSpeaking smallLaugh bigLaugh
0.04 0 0 22.407 1.803 0 0 1 0 0
0.08 0 0.002811 44.172 3.284 0 0 1 0 0
0.12 0 0.003093 46.224 4.013 0 0 1 0 0
0.16 0 0.004719 54.138 5.778 0 0 1 0 0
0.20 334.999 0.037878 67.862 16.600 0 0 1 0 0
0.24 313.767 0.035959 64.864 23.500 0 0 1 0 0
0.28 296.553 0.033194 62.745 23.966 0 0 1 0 0
0.32 287.784 0.020970 55.982 18.093 0 0 1 0 0
0.36 281.805 0.009891 52.741 14.051 0 0 1 0 0
0.40 284.964 0.007953 48.758 11.105 0 0 1 0 0
0.44 286.774 0.003270 40.504 4.808 0 0 1 0 0
0.48 288.584 0.002210 35.588 2.513 0 0 1 0 0
0.52 290.395 0.001311 35.534 2.014 0 0 1 0 0
0.56 292.205 0.001346 37.525 1.949 0 0 1 0 0
0.60 294.015 0.002400 42.090 2.028 0 0 1 0 0
0.64 295.826 0.002674 43.367 1.881 0 0 1 0 0
0.68 297.636 0.002527 40.448 1.896 0 0 1 0 0
0.72 299.446 0.001192 37.835 1.976 0 0 1 0 0
0.76 301.256 0.003071 43.690 2.207 0 0 1 0 0
0.80 303.067 0.001802 37.880 1.930 0 0 1 0 0
0.84 304.877 0.001564 37.152 1.946 0 0 1 0 0
0.88 306.687 0.002219 39.918 2.139 0 0 1 0 0
0.92 308.497 0.001680 35.544 1.970 0 0 1 0 0
0.96 310.308 0.001491 36.658 1.849 0 0 1 0 0
1.00 312.118 0.001618 38.884 1.943 0 0 1 0 0
1.04 313.928 0.002386 42.825 1.960 0 0 1 0 0
1.08 315.739 0.002774 40.485 1.923 0 0 1 0 0
1.12 317.549 0.001449 38.736 1.685 0 0 1 0 0
1.16 319.359 0.003331 45.798 2.077 0 0 1 0 0
1.20 321.169 0.001345 36.755 1.765 0 0 1 0 0
1.24 323.441 0.001565 43.706 2.297 0 0 1 0 0
1.28 326.325 0.013518 59.072 4.605 0 0 1 0 0
1.32 326.964 0.013162 53.184 6.073 0 0 1 0 0
1.36 327.330 0.008404 53.197 9.894 0 0 1 0 0
1.40 327.696 0.008488 48.693 11.319 0 0 1 0 0
1.44 328.062 0.005020 41.623 7.771 0 0 1 0 0
1.48 328.428 0.001711 35.635 4.387 0 0 1 0 0
1.52 328.794 0.001015 37.701 3.730 0 0 1 0 0
1.56 329.160 0.006155 47.131 4.197 0 0 1 0 0
1.60 329.526 0.002696 42.098 3.009 0 0 1 0 0
1.64 329.892 0.001418 39.941 3.892 0 0 1 0 0
1.68 330.258 0.004154 44.220 5.353 0 0 1 0 0
1.72 330.717 0.004443 52.736 5.895 0 0 1 0 0
1.76 324.341 0.028537 65.109 13.015 0 0 1 0 0
1.80 296.972 0.024874 63.147 16.582 0 0 1 0 0
1.84 272.339 0.042663 63.819 22.677 0 0 1 0 0
1.88 264.915 0.024172 56.199 15.859 0 0 1 0 0
1.92 276.722 0.007855 44.228 7.890 0 0 1 0 0
1.96 283.488 0.002170 39.524 4.388 0 0 1 0 0
2.00 290.255 0.002376 42.260 3.037 0 0 1 0 0
2.04 297.022 0.002519 43.286 2.098 0 0 1 0 0
2.08 303.788 0.001819 41.043 1.927 0 0 1 0 0
2.12 310.555 0.004998 36.266 1.867 0 0 1 0 0
2.16 317.322 0.002689 41.262 1.996 0 0 1 0 0
2.20 324.088 0.002330 39.845 2.270 0 0 1 0 0
2.24 330.855 0.001937 38.107 2.038 0 0 1 0 0
2.28 337.622 0.001379 36.760 1.997 0 0 1 0 0
2.32 344.388 0.001791 40.123 2.173 0 0 1 0 0
2.36 352.881 0.006382 54.064 6.480 0 0 1 0 0
2.40 368.248 0.011180 58.211 10.057 0 0 1 0 0
2.44 389.069 0.025093 64.003 16.306 0 0 1 0 0
2.48 396.064 0.033389 63.459 21.096 0 0 1 0 0
2.52 334.380 0.028262 62.533 21.723 0 0 1 0 0
2.56 217.133 0.024905 61.677 20.007 0 0 1 0 0
2.60 182.794 0.021703 59.583 17.441 0 0 1 0 0
2.64 185.999 0.015752 55.357 14.078 0 0 1 0 0
2.68 201.774 0.008426 52.006 12.201 0 0 1 0 0
2.72 210.815 0.008573 52.438 11.836 0 0 1 0 0
2.76 219.855 0.008333 51.966 11.397 0 0 1 0 0
2.80 228.896 0.008170 52.475 11.274 0 0 1 0 0
2.84 237.937 0.007657 52.244 10.658 0 0 1 0 0
2.88 246.977 0.009663 51.412 10.041 0 0 1 0 0
