time pitch RMS intensity loudness no speaking laughingAndSpeaking smallLaugh bigLaugh
0.04 0 0 39.763 1.734 1 0 0 0 0
0.08 0 0.001839 34.408 1.730 1 0 0 0 0
0.12 0 0.000799 31.566 1.633 1 0 0 0 0
0.16 0 0.000470 16.442 1.609 1 0 0 0 0
0.20 0 0.000125 14.496 1.602 1 0 0 0 0
0.24 0 0.000120 21.877 1.601 1 0 0 0 0
0.28 0 0.000253 15.499 1.600 1 0 0 0 0
0.32 0 0.000119 17.663 1.600 1 0 0 0 0
0.36 0 0.000134 18.088 1.600 1 0 0 0 0
0.40 0 0.000149 14.862 1.602 1 0 0 0 0
0.44 0 0.000137 14.771 1.601 1 0 0 0 0
0.48 0 0.000136 14.500 1.601 1 0 0 0 0
0.52 0 0.000224 20.206 1.601 1 0 0 0 0
0.56 0 0.000124 15.206 1.600 1 0 0 0 0
0.60 0 0.000109 14.738 1.600 1 0 0 0 0
0.64 0 0.000152 17.335 1.600 1 0 0 0 0
0.68 0 0.000129 15.752 1.600 1 0 0 0 0
0.72 0 0.000162 18.681 1.600 1 0 0 0 0
0.76 0 0.000153 15.572 1.600 1 0 0 0 0
0.80 0 0.000131 17.701 1.600 1 0 0 0 0
0.84 0 0.000151 18.629 1.603 1 0 0 0 0
0.88 0 0.000152 17.692 1.601 1 0 0 0 0
0.92 0 0.000123 16.269 1.600 1 0 0 0 0
0.96 0 0.000169 22.134 1.604 1 0 0 0 0
1.00 0 0.000268 20.245 1.607 1 0 0 0 0
1.04 0 0.000259 19.660 1.608 1 0 0 0 0
1.08 0 0.000169 20.099 1.628 1 0 0 0 0
1.12 0 0.000257 23.255 1.613 1 0 0 0 0
1.16 0 0.000402 22.507 1.713 1 0 0 0 0
1.20 0 0.000252 28.264 1.650 1 0 0 0 0
1.24 0 0.000493 34.447 1.656 1 0 0 0 0
1.28 0 0.000705 24.650 1.624 1 0 0 0 0
1.32 0 0.000283 19.615 1.615 1 0 0 0 0
1.36 0 0.000271 21.836 1.648 1 0 0 0 0
1.40 0 0.000275 22.148 1.656 1 0 0 0 0
1.44 0 0.000269 22.323 1.723 1 0 0 0 0
1.48 0 0.000319 29.594 1.791 1 0 0 0 0
1.52 0 0.000854 34.630 1.964 1 0 0 0 0
1.56 0 0.000656 29.946 1.968 1 0 0 0 0
1.60 0 0.000742 29.908 2.077 1 0 0 0 0
1.64 0 0.000497 27.789 2.133 1 0 0 0 0
1.68 0 0.000450 27.088 2.173 1 0 0 0 0
1.72 0 0.000392 30.604 2.120 1 0 0 0 0
1.76 0 0.000906 28.708 2.214 1 0 0 0 0
1.80 0 0.000936 31.740 2.334 1 0 0 0 0
1.84 0 0.000887 36.041 2.357 1 0 0 0 0
1.88 0 0.000975 25.783 2.245 1 0 0 0 0
1.92 0 0.000593 48.866 2.444 1 0 0 0 0
1.96 0 0.004783 29.101 2.700 1 0 0 0 0
