time pitch RMS intensity loudness noLaugh smallLaugh bigLaugh laughingAndSpeaking noGeste prep stroke retract
0.04 0 0.000032 56.299 2.174 1 0 0 0 1 0 0 0
0.08 204.800 0.019667 56.851 6.378 1 0 0 0 1 0 0 0
0.12 205.498 0.010878 54.201 7.147 1 0 0 0 1 0 0 0
0.16 207.288 0.010490 57.323 7.794 1 0 0 0 1 0 0 0
0.20 208.463 0.014345 54.945 8.491 1 0 0 0 1 0 0 0
0.24 204.685 0.010020 52.609 6.887 1 0 0 0 1 0 0 0
0.28 197.082 0.007165 49.240 5.774 1 0 0 0 1 0 0 0
0.32 192.339 0.004957 46.924 5.467 1 0 0 0 1 0 0 0
0.36 187.597 0.004343 46.956 5.255 1 0 0 0 1 0 0 0
0.40 182.854 0.004295 45.793 4.879 1 0 0 0 1 0 0 0
0.44 178.112 0.003026 32.766 2.900 1 0 0 0 1 0 0 0
0.48 171.487 0.000687 53.365 3.080 1 0 0 0 1 0 0 0
0.52 160.457 0.018191 61.438 9.252 1 0 0 0 1 0 0 0
0.56 151.213 0.024046 59.060 15.459 1 0 0 0 1 0 0 0
0.60 152.019 0.013600 53.060 13.214 1 0 0 0 1 0 0 0
0.64 158.544 0.006891 50.345 9.524 1 0 0 0 1 0 0 0
0.68 160.688 0.006781 50.320 8.518 1 0 0 0 1 0 0 0
0.72 157.069 0.004563 43.081 5.031 1 0 0 0 1 0 0 0
0.76 154.812 0.002533 37.852 3.376 1 0 0 0 1 0 0 0
0.80 152.554 0.001252 40.000 3.580 1 0 0 0 1 0 0 0
0.84 150.297 0.003221 46.880 5.439 1 0 0 0 1 0 0 0
0.88 148.040 0.002989 34.470 5.167 1 0 0 0 1 0 0 0
0.92 144.886 0.003863 49.790 4.811 1 0 0 0 1 0 0 0
0.96 138.161 0.008328 53.470 6.630 1 0 0 0 1 0 0 0
1.00 130.728 0.009775 55.915 8.037 1 0 0 0 1 0 0 0
1.04 128.724 0.014506 56.926 10.612 1 0 0 0 1 0 0 0
1.08 129.404 0.012631 54.889 11.109 1 0 0 0 1 0 0 0
1.12 130.643 0.006858 35.008 5.112 1 0 0 0 1 0 0 0
1.16 131.723 0.001293 43.305 3.843 1 0 0 0 1 0 0 0
1.20 132.914 0.008090 52.049 7.457 1 0 0 0 1 0 0 0
1.24 133.437 0.004360 36.234 3.841 1 0 0 0 1 0 0 0
1.28 133.763 0.001758 38.074 4.155 1 0 0 0 1 0 0 0
1.32 134.089 0.002305 42.415 4.490 1 0 0 0 1 0 0 0
1.36 134.415 0.003408 46.930 3.741 1 0 0 0 1 0 0 0
1.40 134.741 0.005530 50.173 4.805 1 0 0 0 1 0 0 0
1.44 135.067 0.006205 43.782 5.402 1 0 0 0 1 0 0 0
1.48 135.393 0.003743 49.405 6.760 1 0 0 0 1 0 0 0
1.52 135.719 0.004747 39.919 7.273 1 0 0 0 1 0 0 0
1.56 136.175 0.001925 43.327 5.885 1 0 0 0 1 0 0 0
1.60 133.029 0.009242 54.361 7.957 1 0 0 0 1 0 0 0
1.64 125.401 0.009376 53.427 9.018 1 0 0 0 1 0 0 0
1.68 121.846 0.011998 55.874 12.272 1 0 0 0 1 0 0 0
1.72 124.379 0.011764 53.577 13.009 1 0 0 0 1 0 0 0
