time pitch RMS intensity loudness noLaugh smallLaugh bigLaugh laughingAndSpeaking noGeste prep stroke retract
0.04 0 0 1.348 1.600 1 0 0 0 1 0 0 0
0.08 0 0.000130 18.542 1.600 1 0 0 0 1 0 0 0
0.12 0 0.000130 16.521 1.627 1 0 0 0 1 0 0 0
0.16 0 0.000124 16.212 1.679 1 0 0 0 1 0 0 0
0.20 0 0.000154 17.687 1.736 1 0 0 0 1 0 0 0
0.24 0 0.000122 15.312 1.650 1 0 0 0 1 0 0 0
0.28 0 0.000127 15.308 1.631 1 0 0 0 1 0 0 0
0.32 0 0.000121 15.725 1.608 1 0 0 0 1 0 0 0
0.36 0 0.000131 16.379 1.602 1 0 0 0 1 0 0 0
0.40 0 0.000135 14.167 1.604 1 0 0 0 1 0 0 0
0.44 0 0.000152 16.035 1.601 1 0 0 0 1 0 0 0
0.48 0 0.000166 16.192 1.601 1 0 0 0 1 0 0 0
0.52 0 0.000147 17.226 1.602 1 0 0 0 1 0 0 0
0.56 0 0.000125 14.088 1.601 1 0 0 0 1 0 0 0
0.60 0 0.000111 15.088 1.601 1 0 0 0 1 0 0 0
0.64 0 0.000131 15.310 1.601 1 0 0 0 1 0 0 0
0.68 0 0.000127 17.320 1.600 1 0 0 0 1 0 0 0
0.72 0 0.000145 15.785 1.602 1 0 0 0 1 0 0 0
0.76 0 0.000108 13.210 1.601 1 0 0 0 1 0 0 0
0.80 0 0.000096 14.187 1.600 1 0 0 0 1 0 0 0
0.84 0 0.000099 13.942 1.600 1 0 0 0 1 0 0 0
0.88 0 0.000103 14.669 1.600 1 0 0 0 1 0 0 0
0.92 0 0.000092 13.238 1.600 1 0 0 0 1 0 0 0
0.96 0 0.000094 13.394 1.600 1 0 0 0 1 0 0 0
1.00 0 0.000095 12.902 1.600 1 0 0 0 1 0 0 0
1.04 0 0.000099 13.766 1.601 1 0 0 0 1 0 0 0
1.08 0 0.000112 13.899 1.601 1 0 0 0 1 0 0 0
1.12 0 0.000109 15.411 1.604 1 0 0 0 1 0 0 0
1.16 0 0.000116 15.598 1.612 1 0 0 0 1 0 0 0
