time pitch RMS intensity loudness no speaking laughingAndSpeaking smallLaugh bigLaugh
0.04 0 0 18.482 1.602 0 0 0 0 1
0.08 0 0.001120 47.719 3.075 0 0 0 0 1
0.12 204.575 0.073744 77.421 20.201 0 0 0 0 1
0.16 210.122 0.118007 72.024 45.244 0 0 0 0 1
0.20 198.444 0.043936 48.563 18.277 0 0 0 0 1
0.24 191.842 0.003993 45.367 8.819 0 0 0 0 1
0.28 183.712 0.003482 47.183 6.752 0 0 0 0 1
0.32 175.906 0.022508 67.254 10.690 0 0 0 0 1
0.36 185.754 0.090005 75.489 34.353 0 0 0 0 1
0.40 192.215 0.112557 68.268 49.011 0 0 0 0 1
0.44 190.830 0.015516 38.868 11.401 0 0 0 0 1
0.48 190.047 0.001135 32.513 5.014 0 0 0 0 1
0.52 189.264 0.000695 32.724 3.197 0 0 0 0 1
0.56 188.300 0.007914 59.246 4.770 0 0 0 0 1
0.60 185.932 0.044211 70.185 17.985 0 0 0 0 1
0.64 180.746 0.068278 63.635 29.909 0 0 0 0 1
0.68 175.705 0.004515 33.684 7.557 0 0 0 0 1
0.72 172.856 0.000709 27.875 3.499 0 0 0 0 1
0.76 169.347 0.000489 32.381 2.209 0 0 0 0 1
0.80 166.218 0.009563 61.070 5.303 0 0 0 0 1
0.84 169.483 0.025527 59.480 14.591 0 0 0 0 1
0.88 166.056 0.018287 34.967 7.198 0 0 0 0 1
0.92 164.118 0.000621 25.894 2.982 0 0 0 0 1
0.96 162.180 0.000320 28.288 2.046 0 0 0 0 1
1.00 159.794 0.002915 51.165 2.912 0 0 0 0 1
1.04 158.171 0.018443 58.242 9.627 0 0 0 0 1
1.08 163.354 0.013398 35.172 6.256 0 0 0 0 1
1.12 166.285 0.000509 23.453 2.689 0 0 0 0 1
1.16 169.216 0.000367 25.327 2.102 0 0 0 0 1
1.20 172.824 0.000331 36.543 2.066 0 0 0 0 1
1.24 175.888 0.012243 60.743 7.317 0 0 0 0 1
1.28 170.953 0.021732 57.051 14.629 0 0 0 0 1
1.32 170.414 0.010372 33.229 5.621 0 0 0 0 1
1.36 170.109 0.000599 28.677 2.425 0 0 0 0 1
1.40 169.805 0.000573 31.258 1.880 0 0 0 0 1
1.44 169.429 0.002785 50.648 3.092 0 0 0 0 1
1.48 177.649 0.013395 55.299 8.686 0 0 0 0 1
1.52 210.870 0.010421 32.903 5.054 0 0 0 0 1
1.56 229.653 0.000546 27.312 2.226 0 0 0 0 1
1.60 248.435 0.000981 42.213 2.782 0 0 0 0 1
1.64 267.218 0.006948 51.249 6.420 0 0 0 0 1
1.68 286.001 0.005906 49.141 8.184 0 0 0 0 1
1.72 304.783 0.006597 50.716 9.144 0 0 0 0 1
1.76 327.910 0.007506 54.128 9.675 0 0 0 0 1
1.80 350.407 0.030082 64.689 11.981 0 0 0 0 1
1.84 326.015 0.036965 49.695 7.296 0 0 0 0 1
1.88 312.224 0.005431 49.771 5.903 0 0 0 0 1
1.92 298.433 0.002009 40.818 3.142 0 0 0 0 1
1.96 284.642 0.003540 47.014 3.480 0 0 0 0 1
2.00 267.661 0.003141 47.502 3.348 0 0 0 0 1
2.04 256.217 0.024095 66.454 11.754 0 0 0 0 1
2.08 299.916 0.046942 69.155 20.932 0 0 0 0 1
2.12 330.668 0.061670 66.403 28.670 0 0 0 0 1
2.16 305.079 0.030656 48.801 13.934 0 0 0 0 1
2.20 290.612 0.002556 35.717 5.713 0 0 0 0 1
